Datum,Uhrzeit,Temp1,Temp2,Temp3,Gewicht1,Gewichtsabw1,Gewicht2,Gewichtsabw2,Gewicht3,Gewichtsabw3,Gewicht4,Gewichtsabw4,Gesamtgewicht,Gewichtabw
2015-07-03,00:06:00,35.0,25.062,0,26.318,0.004,23.641,0.004,22.479,0.006,27.197,0.004,99.635,0.018
2015-07-03,00:16:00,35.062,25.062,0,26.328,0.004,23.647,0.004,22.48,0.005,27.186,0.0,99.64099999999999,0.013
2015-07-03,00:26:00,34.812,25.5,0,26.445,0.004,23.539,0.005,22.602,0.0,27.041,0.006,99.627,0.015
2015-07-03,00:36:01,35.125,25.312,0,26.444,0.004,23.553,0.0,22.574,0.003,27.041,0.004,99.612,0.011
2015-07-03,00:46:00,35.062,24.75,0,26.325,0.0,23.666,0.005,22.465,0.0,27.157,0.0,99.613,0.005
2015-07-03,00:56:00,35.062,25.312,0,26.263,0.005,23.739,0.003,22.397,0.004,27.219,0.005,99.618,0.017
2015-07-03,01:06:00,35.062,25.25,0,26.294,0.004,23.715,0.005,22.448,0.004,27.163,0.004,99.61999999999999,0.017
2015-07-03,01:16:01,35.062,25.25,0,26.236,0.003,23.767,0.004,22.388,0.005,27.22,0.005,99.611,0.017
2015-07-03,01:26:00,35.062,25.312,0,26.249,0.004,23.757,0.003,22.406,0.003,27.205,0.0,99.617,0.01
2015-07-03,01:36:00,35.125,25.25,0,26.365,0.003,23.656,0.005,22.509,0.005,27.086,0.004,99.616,0.017
2015-07-03,01:46:00,35.125,24.312,0,26.384,0.004,23.673,0.004,22.515,0.003,27.088,0.004,99.66,0.015
2015-07-03,01:56:01,35.062,24.687,0,26.432,0.003,23.627,0.005,22.56,0.004,27.006,0.005,99.625,0.017
2015-07-03,02:06:00,35.062,24.75,0,26.317,0.004,23.75,0.004,22.446,0.0,27.108,0.004,99.62100000000001,0.012
2015-07-03,02:16:00,35.062,24.5,0,26.372,0.004,23.683,0.005,22.501,0.005,27.04,0.004,99.596,0.018
2015-07-03,02:26:00,35.062,24.25,0,26.394,0.004,23.667,0.004,22.516,0.004,27.028,0.004,99.60499999999999,0.016
2015-07-03,02:36:01,34.937,23.75,0,26.256,0.003,23.816,0.0,22.382,0.005,27.147,0.0,99.601,0.008
2015-07-03,02:46:00,35.062,24.062,0,26.208,0.0,23.854,0.003,22.339,0.003,27.203,0.004,99.604,0.01
2015-07-03,02:56:00,35.0,23.75,0,26.153,0.005,23.917,0.004,22.278,0.004,27.268,0.006,99.616,0.019
2015-07-03,03:06:00,35.062,23.875,0,26.091,0.0,23.982,0.004,22.212,0.003,27.346,0.005,99.631,0.012
2015-07-03,03:16:01,35.062,24.625,0,26.007,0.005,24.07,0.0,22.102,0.004,27.436,0.004,99.61500000000001,0.013
2015-07-03,03:26:00,35.125,24.75,0,26.005,0.004,24.06,0.0,22.079,0.005,27.429,0.003,99.57300000000001,0.012
2015-07-03,03:36:00,35.062,24.625,0,25.985,0.004,24.058,0.004,22.071,0.004,27.399,0.003,99.513,0.015
2015-07-03,03:46:00,35.125,25.812,0,26.016,0.005,23.991,0.003,22.11,0.004,27.357,0.005,99.47399999999999,0.017
2015-07-03,03:56:01,35.25,25.437,0,25.893,0.004,24.112,0.004,22.014,0.003,27.495,0.004,99.514,0.015
2015-07-03,04:06:00,35.187,26.312,0,25.884,0.003,24.084,0.005,22.016,0.003,27.528,0.003,99.512,0.014
2015-07-03,04:16:00,35.187,26.812,0,25.909,0.005,24.053,0.004,22.021,0.005,27.5,0.006,99.483,0.02
2015-07-03,04:26:00,35.062,26.375,0,25.924,0.0,24.031,0.0,22.032,0.004,27.485,0.004,99.472,0.008
2015-07-03,04:36:01,35.062,26.625,0,25.95,0.005,24.003,0.003,22.068,0.005,27.479,0.003,99.5,0.016
2015-07-03,04:46:00,35.125,27.312,0,26.025,0.006,23.934,0.003,22.115,0.004,27.461,0.006,99.535,0.019
2015-07-03,04:56:00,35.062,27.562,0,26.059,0.006,23.895,0.003,22.158,0.005,27.433,0.005,99.54499999999999,0.019
2015-07-03,05:06:00,35.062,27.687,0,26.122,0.004,23.857,0.004,22.204,0.004,27.411,0.003,99.594,0.015
2015-07-03,05:16:01,35.0,27.062,0,26.071,0.0,23.94,0.004,22.142,0.003,27.504,0.005,99.65700000000001,0.012
2015-07-03,05:26:00,34.937,27.25,0,26.121,0.003,23.921,0.004,22.145,0.004,27.558,0.004,99.745,0.015
2015-07-03,05:36:00,34.937,27.187,0,26.088,0.004,23.945,0.004,22.171,0.003,27.637,0.004,99.84100000000001,0.015
2015-07-03,05:46:00,34.937,28.125,0,26.144,0.005,23.946,0.004,22.171,0.003,27.607,0.004,99.868,0.016
2015-07-03,05:56:01,34.937,27.687,0,26.175,0.005,23.932,0.003,22.185,0.004,27.639,0.005,99.931,0.017
2015-07-03,06:06:00,34.812,27.875,0,26.154,0.007,23.995,0.004,22.146,0.004,27.724,0.004,100.019,0.019
2015-07-03,06:16:00,34.75,27.812,0,26.171,0.004,24.009,0.006,22.133,0.0,27.783,0.004,100.096,0.014
2015-07-03,06:26:00,34.812,28.125,0,26.108,0.004,24.104,0.005,22.068,0.005,27.862,0.004,100.142,0.018
2015-07-03,06:36:01,34.875,28.812,0,26.055,0.005,24.155,0.004,22.02,0.005,27.971,0.005,100.20100000000001,0.019
2015-07-03,06:46:00,34.875,28.75,0,26.039,0.004,24.215,0.005,21.985,0.003,28.03,0.005,100.269,0.017
2015-07-03,06:56:00,34.812,29.062,0,26.026,0.005,24.258,0.004,21.914,0.005,28.083,0.004,100.281,0.018
2015-07-03,07:06:00,34.75,29.0,0,26.089,0.009,24.274,0.003,21.906,0.004,28.087,0.005,100.35600000000001,0.021
2015-07-03,07:16:01,34.812,29.625,0,26.187,0.008,24.162,0.006,22.029,0.006,27.945,0.009,100.32300000000001,0.029
2015-07-03,07:26:00,34.812,29.937,0,26.198,0.004,24.096,0.004,22.142,0.003,27.934,0.004,100.36999999999999,0.015
2015-07-03,07:36:00,34.812,31.125,0,26.188,0.004,24.136,0.004,22.096,0.004,27.914,0.004,100.334,0.016
2015-07-03,07:46:00,34.937,31.937,0,26.197,0.003,24.12,0.003,22.135,0.004,27.897,0.003,100.34899999999999,0.013
2015-07-03,07:56:01,35.0,31.937,0,26.29,0.005,24.042,0.003,22.235,0.005,27.815,0.005,100.382,0.018
2015-07-03,08:06:00,34.937,31.875,0,26.411,0.004,23.988,0.005,22.275,0.005,27.693,0.0,100.367,0.014
2015-07-03,08:16:00,35.0,32.375,0,26.332,0.008,24.051,0.008,22.255,0.008,27.726,0.006,100.36399999999999,0.03
